Driver,LapTime,Distance,Speed,GapTime
VER,01:32.608,10.529166666666669,285,0.0
VER,01:32.608,32.77361111111111,286,0.0
VER,01:32.608,45.52916666666666,287,0.0
VER,01:32.608,61.584722222222226,289,0.0
VER,01:32.608,97.1513888888889,291,0.0
VER,01:32.608,110.08472222222223,291,0.0
VER,01:32.608,126.3625,293,0.0
VER,01:32.608,142.64027777777778,293,0.0
VER,01:32.608,162.17361111111111,293,0.0
VER,01:32.608,175.2402777777778,294,0.0
VER,01:32.608,188.35138888888892,295,0.0
VER,01:32.608,214.57361111111112,295,0.0
VER,01:32.608,244.19111111111113,297,0.0
VER,01:32.608,257.3911111111111,297,0.0
VER,01:32.608,277.25777777777773,298,0.0
VER,01:32.608,297.1244444444444,298,0.0
VER,01:32.608,317.05777777777774,299,0.0
VER,01:32.608,333.80777777777774,300,0.0
VER,01:32.608,377.28555555555556,301,0.0
VER,01:32.608,394.00777777777773,301,0.0
VER,01:32.608,407.3855555555555,301,0.0
VER,01:32.608,420.7633333333333,301,0.0
VER,01:32.608,460.8966666666667,301,0.0
VER,01:32.608,474.27444444444444,301,0.0
VER,01:32.608,494.3411111111111,301,0.0
VER,01:32.608,527.6744444444445,300,0.0
VER,01:32.608,560.8966666666666,299,0.0
VER,01:32.608,592.0077777777777,280,0.0
VER,01:32.608,606.1744444444444,255,0.0
VER,01:32.608,626.6188888888888,230,0.0
VER,01:32.608,641.9522222222222,230,0.0
VER,01:32.608,652.1188888888888,183,0.0
VER,01:32.608,658.9633333333333,154,0.0
VER,01:32.608,669.0744444444443,130,0.0
VER,01:32.608,678.8522222222222,110,0.0
VER,01:32.608,685.5855555555555,101,0.0
VER,01:32.608,691.5188888888889,89,0.0
VER,01:32.608,697.2947222222222,87,0.0
VER,01:32.608,701.6836111111111,79,0.0
VER,01:32.608,708.2613888888889,74,0.0
VER,01:32.608,715.9472222222222,69,0.0
VER,01:32.608,718.8805555555555,66,0.0
VER,01:32.608,722.6027777777776,67,0.0
VER,01:32.608,727.4027777777776,72,0.0
VER,01:32.608,732.6027777777776,78,0.0
VER,01:32.608,737.2138888888887,83,0.0
VER,01:32.608,740.9916666666666,85,0.0
VER,01:32.608,747.3916666666665,96,0.0
VER,01:32.608,751.836111111111,100,0.0
VER,01:32.608,768.5027777777776,125,0.0
VER,01:32.608,777.7694444444443,139,0.0
VER,01:32.608,790.747222222222,146,0.0
VER,01:32.608,797.4583333333331,151,0.0
VER,01:32.608,807.5249999999999,151,0.0
VER,01:32.608,816.5805555555555,163,0.0
VER,01:32.608,825.9138888888888,168,0.0
VER,01:32.608,837.7138888888887,177,0.0
VER,01:32.608,848.1027777777775,187,0.0
VER,01:32.608,867.2027777777776,191,0.0
VER,01:32.608,885.2472222222219,203,0.0
VER,01:32.608,896.8583333333331,209,0.0
VER,01:32.608,911.2583333333331,216,0.0
VER,01:32.608,923.4805555555553,220,0.0
VER,01:32.608,941.136111111111,227,0.0
VER,01:32.608,961.7824999999998,233,0.0
VER,01:32.608,994.0491666666665,242,0.0
VER,01:32.608,1007.6602777777775,245,0.0
VER,01:32.608,1018.7513888888888,248,0.0
VER,01:32.608,1044.0513888888888,253,0.0
VER,01:32.608,1064.0402777777779,257,0.0
VER,01:32.608,1084.2624999999998,260,0.0
VER,01:32.608,1107.7291666666665,264,0.0
VER,01:32.608,1140.4847222222222,268,0.0
VER,01:32.608,1164.6625,272,0.0
VER,01:32.608,1189.0180555555555,274,0.0
VER,01:32.608,1201.2402777777777,275,0.0
VER,01:32.608,1219.7069444444442,277,0.0
VER,01:32.608,1232.1069444444443,279,0.0
VER,01:32.608,1253.884722222222,280,0.0
VER,01:32.608,1278.9513888888887,282,0.0
VER,01:32.608,1310.5069444444441,284,0.0
VER,01:32.608,1332.6736111111109,285,0.0
VER,01:32.608,1351.7402777777775,286,0.0
VER,01:32.608,1364.4513888888887,286,0.0
VER,01:32.608,1383.1847222222223,281,0.0
VER,01:32.608,1408.2847222222222,251,0.0
VER,01:32.608,1426.3291666666667,203,0.0
VER,01:32.608,1444.1794444444442,179,0.0
VER,01:32.608,1451.4238888888888,163,0.0
VER,01:32.608,1461.4905555555556,151,0.0
VER,01:32.608,1472.3402777777778,139,0.0
VER,01:32.608,1482.6847222222223,133,0.0
VER,01:32.608,1489.9069444444444,130,0.0
VER,01:32.608,1502.3069444444445,124,0.0
VER,01:32.608,1511.7958333333333,122,0.0
VER,01:32.608,1518.6847222222223,124,0.0
VER,01:32.608,1524.240277777778,125,0.0
VER,01:32.608,1535.7958333333336,130,0.0
VER,01:32.608,1544.7958333333336,135,0.0
VER,01:32.608,1550.7958333333336,135,0.0
VER,01:32.608,1562.4625000000003,150,0.0
VER,01:32.608,1581.0180555555557,167,0.0
VER,01:32.608,1594.0069444444448,167,0.0
VER,01:32.608,1606.2069444444446,183,0.0
