Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Sector,Fastest_driver,Sector_avg_speed,Fastest_driver_int,Minisector
2553.116388888892,248,-5771.534273656514,2745.824264708696,ALO,14,#0090ff,0 days 00:00:46.053000,429,ALO,248.0,14.0,11
2555.166111111113,247,-5778.0,2744.0,VER,1,#0600ef,0 days 00:00:45.271000,429,ALO,248.0,14.0,11
2567.2047222222254,237,-5858.0,2730.0,ALO,14,#0090ff,0 days 00:00:46.267000,431,ALO,232.0,14.0,11
2568.8441666666695,227,-5871.126630228714,2727.2088142866423,ALO,14,#0090ff,0 days 00:00:46.293000,431,ALO,232.0,14.0,11
2572.6327777777797,240,-5891.0,2723.0,VER,1,#0600ef,0 days 00:00:45.533000,432,VER,234.5,1.0,11
2575.0500000000015,229,-5907.0,2719.0,VER,1,#0600ef,0 days 00:00:45.571000,432,VER,234.5,1.0,11
2578.169722222225,218,-5963.0,2704.0,ALO,14,#0090ff,0 days 00:00:46.447000,433,ALO,218.0,14.0,11
2582.4377777777795,218,-5972.0,2698.0,VER,1,#0600ef,0 days 00:00:45.693000,434,VER,218.0,1.0,11
2583.1625000000026,209,-6026.647699146728,2681.901204934033,ALO,14,#0090ff,0 days 00:00:46.533000,434,VER,218.0,1.0,11
2591.8736111111134,196,-6156.498309267298,2628.3305583321076,ALO,14,#0090ff,0 days 00:00:46.693000,435,VER,214.0,1.0,11
2593.018888888891,214,-6084.0,2661.0,VER,1,#0600ef,0 days 00:00:45.871000,435,VER,214.0,1.0,11
2595.894444444447,193,-6202.0,2608.0,ALO,14,#0090ff,0 days 00:00:46.768000,436,VER,210.0,1.0,11
2596.6355555555574,210,-6118.0,2647.0,VER,1,#0600ef,0 days 00:00:45.933000,436,VER,210.0,1.0,11
2600.380555555558,190,-6238.211464254858,2590.4175068530603,ALO,14,#0090ff,0 days 00:00:46.853000,437,ALO,190.0,14.0,11
2606.4255555555574,198,-6207.0,2605.0,VER,1,#0600ef,0 days 00:00:46.111000,438,VER,192.5,1.0,11
2607.5683333333354,187,-6217.0,2599.0,VER,1,#0600ef,0 days 00:00:46.133000,438,VER,192.5,1.0,11
2612.195833333336,181,-6291.0,2556.0,ALO,14,#0090ff,0 days 00:00:47.088000,439,VER,187.0,1.0,11
2612.434722222225,172,-6292.354399107691,2555.074567959186,ALO,14,#0090ff,0 days 00:00:47.093000,439,VER,187.0,1.0,11
2616.8144444444465,187,-6296.0,2553.0,VER,1,#0600ef,0 days 00:00:46.311000,439,VER,187.0,1.0,11
2620.035000000002,187,-6320.0,2536.0,VER,1,#0600ef,0 days 00:00:46.373000,440,VER,187.0,1.0,11
2621.751388888891,172,-6356.0,2510.0,ALO,14,#0090ff,0 days 00:00:47.288000,440,VER,187.0,1.0,11
2625.8125000000023,172,-6387.039402093425,2484.492146116154,ALO,14,#0090ff,0 days 00:00:47.373000,441,VER,172.0,1.0,11
2626.628333333336,172,-6370.0,2499.0,VER,1,#0600ef,0 days 00:00:46.511000,441,VER,172.0,1.0,11
2634.4783333333357,157,-6428.0,2448.0,VER,1,#0600ef,0 days 00:00:46.691000,442,VER,157.0,1.0,11
2636.7013888888914,140,-6489.3398019368,2383.445235582663,ALO,14,#0090ff,0 days 00:00:47.653000,443,VER,143.0,1.0,11
2637.2513888888916,132,-6494.0,2378.0,ALO,14,#0090ff,0 days 00:00:47.668000,443,VER,143.0,1.0,11
2637.7355555555578,143,-6452.0,2424.0,VER,1,#0600ef,0 days 00:00:46.773000,443,VER,143.0,1.0,11
2642.12777777778,134,-6484.0,2390.0,VER,1,#0600ef,0 days 00:00:46.891000,444,VER,130.0,1.0,11
2646.39777777778,126,-6512.0,2355.0,VER,1,#0600ef,0 days 00:00:47.013000,444,VER,130.0,1.0,11
2648.3472222222244,121,-6525.0,2339.0,VER,1,#0600ef,0 days 00:00:47.071000,445,VER,121.0,1.0,11
2648.962500000003,124,-6572.0,2265.0,ALO,14,#0090ff,0 days 00:00:48.008000,445,VER,121.0,1.0,11
2650.4125000000026,116,-6578.365338392506,2253.731016692718,ALO,14,#0090ff,0 days 00:00:48.053000,445,VER,121.0,1.0,11
2652.92277777778,116,-6552.0,2299.0,VER,1,#0600ef,0 days 00:00:47.213000,446,VER,113.5,1.0,11
2655.32777777778,111,-6565.0,2278.0,VER,1,#0600ef,0 days 00:00:47.291000,446,VER,113.5,1.0,11
2655.345833333336,111,-6593.510074918951,2222.339779962986,ALO,14,#0090ff,0 days 00:00:48.213000,446,VER,113.5,1.0,11
2661.3316666666688,107,-6591.0,2224.0,VER,1,#0600ef,0 days 00:00:47.493000,447,VER,104.0,1.0,11
2661.836666666669,101,-6593.0,2219.0,VER,1,#0600ef,0 days 00:00:47.511000,447,VER,104.0,1.0,11
2662.570833333336,102,-6606.0,2179.0,ALO,14,#0090ff,0 days 00:00:48.468000,447,VER,104.0,1.0,11
2663.2236111111138,94,-6607.267540069433,2173.8084163372173,ALO,14,#0090ff,0 days 00:00:48.493000,447,VER,104.0,1.0,11
2667.4013888888912,94,-6613.868863715813,2134.59122076126,ALO,14,#0090ff,0 days 00:00:48.653000,448,VER,93.5,1.0,11
2667.780555555558,91,-6614.0,2130.0,ALO,14,#0090ff,0 days 00:00:48.668000,448,VER,93.5,1.0,11
2668.7700000000023,96,-6614.0,2132.0,VER,1,#0600ef,0 days 00:00:47.771000,448,VER,93.5,1.0,11
2669.8316666666688,91,-6615.0,2120.0,VER,1,#0600ef,0 days 00:00:47.813000,448,VER,93.5,1.0,11
2672.725000000002,89,-6608.0,2062.0,ALO,14,#0090ff,0 days 00:00:48.868000,449,VER,89.0,1.0,11
2673.3291666666687,87,-6606.953596886141,2055.8237271057387,ALO,14,#0090ff,0 days 00:00:48.893000,449,VER,89.0,1.0,11
2675.765000000002,89,-6613.0,2079.0,VER,1,#0600ef,0 days 00:00:48.053000,449,VER,89.0,1.0,11
2678.551111111113,85,-6607.0,2059.0,VER,1,#0600ef,0 days 00:00:48.171000,450,VER,83.5,1.0,11
2679.5166666666687,81,-6591.0,2021.0,ALO,14,#0090ff,0 days 00:00:49.168000,450,VER,83.5,1.0,11
2680.418888888891,82,-6600.0,2042.0,VER,1,#0600ef,0 days 00:00:48.253000,450,VER,83.5,1.0,11
2682.120833333335,75,-6575.576662890153,1999.4939076820592,ALO,14,#0090ff,0 days 00:00:49.293000,450,VER,83.5,1.0,11
2683.2513888888907,74,-6568.0,1990.0,ALO,14,#0090ff,0 days 00:00:49.348000,451,VER,77.33333333333333,1.0,11
2683.886111111113,79,-6584.0,2010.0,VER,1,#0600ef,0 days 00:00:48.411000,451,VER,77.33333333333333,1.0,11
2686.4955555555575,77,-6569.0,1990.0,VER,1,#0600ef,0 days 00:00:48.533000,451,VER,77.33333333333333,1.0,11
2688.142222222224,76,-6556.0,1977.0,VER,1,#0600ef,0 days 00:00:48.611000,451,VER,77.33333333333333,1.0,11
2688.523611111113,73,-6530.0,1955.0,ALO,14,#0090ff,0 days 00:00:49.608000,451,VER,77.33333333333333,1.0,11
2688.625000000002,73,-6529.1920240727495,1954.433178813762,ALO,14,#0090ff,0 days 00:00:49.613000,451,VER,77.33333333333333,1.0,11
2692.4066666666686,76,-6504.0,1939.0,VER,1,#0600ef,0 days 00:00:48.813000,452,VER,75.5,1.0,11
2692.7816666666686,75,-6501.0,1937.0,VER,1,#0600ef,0 days 00:00:48.831000,452,VER,75.5,1.0,11
2694.125000000002,72,-6480.0,1927.0,ALO,14,#0090ff,0 days 00:00:49.888000,452,VER,75.5,1.0,11
2695.0125000000016,71,-6471.387361201579,1922.799920975383,ALO,14,#0090ff,0 days 00:00:49.933000,453,VER,75.0,1.0,11
2697.3450000000016,74,-6476.0,1924.0,VER,1,#0600ef,0 days 00:00:49.053000,453,VER,75.0,1.0,11
2697.7125000000015,72,-6445.0,1911.0,ALO,14,#0090ff,0 days 00:00:50.068000,453,VER,75.0,1.0,11
2697.7250000000017,76,-6474.0,1924.0,VER,1,#0600ef,0 days 00:00:49.071000,453,VER,75.0,1.0,11
2702.1736111111127,73,-6402.0,1897.0,ALO,14,#0090ff,0 days 00:00:50.288000,454,VER,79.0,1.0,11
2703.098611111113,74,-6393.6110878715135,1894.448596559047,ALO,14,#0090ff,0 days 00:00:50.333000,454,VER,79.0,1.0,11
2704.352222222224,79,-6413.0,1899.0,VER,1,#0600ef,0 days 00:00:49.373000,454,VER,79.0,1.0,11
2704.747222222224,79,-6409.0,1898.0,VER,1,#0600ef,0 days 00:00:49.391000,454,VER,79.0,1.0,11
2705.526388888891,76,-6372.0,1888.0,ALO,14,#0090ff,0 days 00:00:50.448000,454,VER,79.0,1.0,11
2708.791666666669,80,-6368.0,1886.0,VER,1,#0600ef,0 days 00:00:49.573000,455,VER,81.5,1.0,11
2711.051111111113,83,-6347.0,1881.0,VER,1,#0600ef,0 days 00:00:49.671000,455,VER,81.5,1.0,11
2712.548611111113,79,-6301.0,1870.0,ALO,14,#0090ff,0 days 00:00:50.768000,455,VER,81.5,1.0,11
2712.662500000002,82,-6299.90479666238,1869.7685007457283,ALO,14,#0090ff,0 days 00:00:50.773000,456,VER,89.0,1.0,11
2714.458611111113,87,-6314.0,1873.0,VER,1,#0600ef,0 days 00:00:49.812000,456,VER,89.0,1.0,11
2715.444444444446,91,-6305.0,1871.0,VER,1,#0600ef,0 days 00:00:49.851000,456,VER,89.0,1.0,11
2716.529166666669,87,-6265.3524307381485,1863.3019604162141,ALO,14,#0090ff,0 days 00:00:50.933000,456,VER,89.0,1.0,11
2717.904166666669,90,-6252.0,1861.0,ALO,14,#0090ff,0 days 00:00:50.988000,456,VER,89.0,1.0,11
2720.831111111113,96,-6248.0,1859.0,VER,1,#0600ef,0 days 00:00:50.053000,457,VER,97.0,1.0,11
2721.69027777778,94,-6211.846365114105,1854.230251671582,ALO,14,#0090ff,0 days 00:00:51.133000,457,VER,97.0,1.0,11
2721.8655555555574,98,-6238.0,1858.0,VER,1,#0600ef,0 days 00:00:50.091000,457,VER,97.0,1.0,11
2723.20277777778,99,-6198.0,1852.0,ALO,14,#0090ff,0 days 00:00:51.188000,457,VER,97.0,1.0,11
2724.95277777778,105,-6185.0,1850.0,ALO,14,#0090ff,0 days 00:00:51.248000,458,ALO,105.0,14.0,11
2727.4766666666683,101,-6182.0,1849.0,VER,1,#0600ef,0 days 00:00:50.291000,458,ALO,105.0,14.0,11
2729.845555555557,104,-6159.0,1845.0,VER,1,#0600ef,0 days 00:00:50.373000,458,ALO,105.0,14.0,11
2733.9855555555573,108,-6123.0,1841.0,VER,1,#0600ef,0 days 00:00:50.511000,459,ALO,113.0,14.0,11
2735.341666666669,110,-6132.0,1843.0,ALO,14,#0090ff,0 days 00:00:51.588000,459,ALO,113.0,14.0,11
2735.914444444446,112,-6107.0,1838.0,VER,1,#0600ef,0 days 00:00:50.573000,459,ALO,113.0,14.0,11
2736.1472222222246,116,-6125.169475915793,1842.0783927495527,ALO,14,#0090ff,0 days 00:00:51.613000,459,ALO,113.0,14.0,11
2740.6847222222245,121,-6080.0,1836.0,ALO,14,#0090ff,0 days 00:00:51.748000,460,ALO,121.0,14.0,11
2745.8700000000017,128,-6037.0,1830.0,VER,1,#0600ef,0 days 00:00:50.853000,461,VER,140.0,1.0,11
2746.329166666669,127,-6023.0,1829.0,ALO,14,#0090ff,0 days 00:00:51.908000,461,VER,140.0,1.0,11
2748.318888888891,152,-6018.0,1828.0,VER,1,#0600ef,0 days 00:00:50.911000,461,VER,140.0,1.0,11
2750.2083333333358,133,-5987.354577825419,1824.850793343202,ALO,14,#0090ff,0 days 00:00:52.013000,462,ALO,133.0,14.0,11
2758.4500000000025,138,-5907.0,1816.0,ALO,14,#0090ff,0 days 00:00:52.228000,463,ALO,141.0,14.0,11
2759.4500000000025,144,-5895.253154283262,1814.7360464041376,ALO,14,#0090ff,0 days 00:00:52.253000,463,ALO,141.0,14.0,11
2760.866666666669,150,-5879.0,1813.0,ALO,14,#0090ff,0 days 00:00:52.287000,464,ALO,150.0,14.0,11
2772.205555555558,157,-5769.0,1802.0,ALO,14,#0090ff,0 days 00:00:52.547000,465,ALO,157.0,14.0,11
2777.0344444444468,164,-5725.630982903536,1798.03205807891,ALO,14,#0090ff,0 days 00:00:52.653000,466,ALO,164.0,14.0,11
2785.1544444444467,168,-5645.0,1791.0,ALO,14,#0090ff,0 days 00:00:52.827000,468,ALO,170.5,14.0,11
