Distance,Speed,X,Y,Driver,DriverNumber,Colour,Time,Minisector
3595.4324999999985,275,511,5756,SAI,55,#DC0000,0 days 00:00:52.363000,18
3619.3713888888874,278,670,5921,SAI,55,#DC0000,0 days 00:00:52.673000,18
3621.773888888887,279,683,5933,SAI,55,#DC0000,0 days 00:00:52.704000,18
3634.9183333333312,280,742,5990,SAI,55,#DC0000,0 days 00:00:52.873000,18
3651.388055555554,281,834,6070,SAI,55,#DC0000,0 days 00:00:53.084000,18
3659.926388888887,282,903,6126,SAI,55,#DC0000,0 days 00:00:53.193000,18
3663.9355555555535,283,937,6153,SAI,55,#DC0000,0 days 00:00:53.244000,18
3672.5344444444427,284,1002,6202,SAI,55,#DC0000,0 days 00:00:53.353000,18
3679.6344444444426,284,1059,6241,SAI,55,#DC0000,0 days 00:00:53.443000,18
3691.430277777776,285,1165,6310,SAI,55,#DC0000,0 days 00:00:53.592000,18
3710.56361111111,287,1348,6420,SAI,55,#DC0000,0 days 00:00:53.832000,18
3711.5202777777763,287,1357,6425,SAI,55,#DC0000,0 days 00:00:53.844000,18
3738.720277777776,288,1571,6534,SAI,55,#DC0000,0 days 00:00:54.184000,18
3742.5736111111096,289,1605,6549,SAI,55,#DC0000,0 days 00:00:54.232000,18
3746.6677777777763,289,1644,6567,SAI,55,#DC0000,0 days 00:00:54.283000,18
3772.5261111111095,290,1882,6666,SAI,55,#DC0000,0 days 00:00:54.604000,18
3774.789444444443,291,1902,6673,SAI,55,#DC0000,0 days 00:00:54.632000,18
3787.811666666665,293,2018,6717,SAI,55,#DC0000,0 days 00:00:54.792000,18
3795.299444444443,293,2103,6748,SAI,55,#DC0000,0 days 00:00:54.884000,18
3804.089444444443,293,2224,6790,SAI,55,#DC0000,0 days 00:00:54.992000,18
3808.3216666666654,293,2279,6810,SAI,55,#DC0000,0 days 00:00:55.044000,18
3596.641111111112,282,474,5715,LEC,16,#FFD700,0 days 00:00:52,18
3600.5577777777785,282,502,5746,LEC,16,#FFD700,0 days 00:00:52.050000,18
3609.205000000001,283,561,5809,LEC,16,#FFD700,0 days 00:00:52.160000,18
3614.727222222223,284,599,5849,LEC,16,#FFD700,0 days 00:00:52.230000,18
3633.727222222223,285,734,5982,LEC,16,#FFD700,0 days 00:00:52.470000,18
3634.524444444445,287,739,5987,LEC,16,#FFD700,0 days 00:00:52.480000,18
3646.482777777779,287,830,6066,LEC,16,#FFD700,0 days 00:00:52.630000,18
3650.482777777779,288,858,6089,LEC,16,#FFD700,0 days 00:00:52.680000,18
3660.9550000000017,290,943,6156,LEC,16,#FFD700,0 days 00:00:52.810000,18
3678.799444444446,292,1184,6322,LEC,16,#FFD700,0 days 00:00:53.030000,18
3682.882777777779,294,1223,6347,LEC,16,#FFD700,0 days 00:00:53.080000,18
3699.3827777777797,297,1296,6391,LEC,16,#FFD700,0 days 00:00:53.280000,18
3708.488333333335,298,1340,6415,LEC,16,#FFD700,0 days 00:00:53.390000,18
3712.6411111111124,299,1366,6429,LEC,16,#FFD700,0 days 00:00:53.440000,18
3733.474444444446,300,1561,6529,LEC,16,#FFD700,0 days 00:00:53.690000,18
3750.1966666666685,301,1760,6617,LEC,16,#FFD700,0 days 00:00:53.890000,18
3752.7216666666686,303,1788,6628,LEC,16,#FFD700,0 days 00:00:53.920000,18
3766.188333333335,303,1926,6683,LEC,16,#FFD700,0 days 00:00:54.080000,18
3786.588333333335,306,2128,6756,LEC,16,#FFD700,0 days 00:00:54.320000,18
3787.5233333333354,306,2139,6760,LEC,16,#FFD700,0 days 00:00:54.331000,18
